antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
apiVersion(apiextensions.k8s.io/v1beta1),apiVersion(apiextensions.k8s.io/v1beta1)/kind(CustomResourceDefinition)/metadata,0.08018362662586075,0.08018362662586075,0.08018362662586075,1.0,12.471374045801527,0.0737542126469853,inf
apiVersion(apiextensions.k8s.io/v1beta1),apiVersion(apiextensions.k8s.io/v1beta1)/kind(CustomResourceDefinition)/metadata/name,0.08018362662586075,0.08018362662586075,0.08018362662586075,1.0,12.471374045801527,0.0737542126469853,inf
apiVersion(apiextensions.k8s.io/v1beta1),apiVersion(apiextensions.k8s.io/v1beta1)/kind(CustomResourceDefinition)/spec,0.08018362662586075,0.08018362662586075,0.08018362662586075,1.0,12.471374045801527,0.0737542126469853,inf
apiVersion(apiextensions.k8s.io/v1beta1),apiVersion(apiextensions.k8s.io/v1beta1)/kind(CustomResourceDefinition)/spec/group,0.08018362662586075,0.08018362662586075,0.08018362662586075,1.0,12.471374045801527,0.0737542126469853,inf
apiVersion(apiextensions.k8s.io/v1beta1),apiVersion(apiextensions.k8s.io/v1beta1)/kind(CustomResourceDefinition)/spec/names,0.08018362662586075,0.08018362662586075,0.08018362662586075,1.0,12.471374045801527,0.0737542126469853,inf
apiVersion(apiextensions.k8s.io/v1beta1),apiVersion(apiextensions.k8s.io/v1beta1)/kind(CustomResourceDefinition)/spec/names/kind,0.08018362662586075,0.08018362662586075,0.08018362662586075,1.0,12.471374045801527,0.0737542126469853,inf
apiVersion(apiextensions.k8s.io/v1beta1),apiVersion(apiextensions.k8s.io/v1beta1)/kind(CustomResourceDefinition)/spec/names/plural,0.08018362662586075,0.08018362662586075,0.08018362662586075,1.0,12.471374045801527,0.0737542126469853,inf
apiVersion(apiextensions.k8s.io/v1beta1),apiVersion(apiextensions.k8s.io/v1beta1)/kind(CustomResourceDefinition)/spec/scope,0.08018362662586075,0.08018362662586075,0.08018362662586075,1.0,12.471374045801527,0.0737542126469853,inf
kind(CustomResourceDefinition),apiVersion(apiextensions.k8s.io/v1beta1),0.08018362662586075,0.08018362662586075,0.08018362662586075,1.0,12.471374045801527,0.0737542126469853,inf
apiVersion(apiextensions.k8s.io/v1beta1),kind(CustomResourceDefinition),0.08018362662586075,0.08018362662586075,0.08018362662586075,1.0,12.471374045801527,0.0737542126469853,inf
apiVersion(apiextensions.k8s.io/v1beta1)/kind(CustomResourceDefinition)/metadata,apiVersion(apiextensions.k8s.io/v1beta1)/kind(CustomResourceDefinition)/metadata/name,0.08018362662586075,0.08018362662586075,0.08018362662586075,1.0,12.471374045801527,0.0737542126469853,inf
